student_id,gender,subject_area,socioeconomic_band,prior_ai_experience,ai_training_completed,ai_confidence_score_1_5,actual_ai_use,writing_formality_score,paraphrase_similarity_score,source_citation_quality_score,detector_score,detection_flag,human_review_completed,misconduct_case_opened,appeal_submitted,appeal_successful,is_false_positive,is_false_negative,stress_test_note,actual_ai_use_binary,detection_flag_binary,false_positive_binary,false_negative_binary,appeal_success_binary,system_type,case_study
STUD00225,Male,STEM,Low,Medium,No,3.32,No,0.406,0.668,0.648,0.34,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00226,Female,STEM,High,High,No,4.48,No,0.51,0.274,0.469,0.36,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00227,Male,STEM,Medium,Low,No,3.33,No,0.462,0.7,0.498,0.508,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00228,Female,Education,Medium,Low,Yes,2.81,Yes,0.435,0.56,0.556,0.664,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00229,Female,Social Sciences,Low,Medium,Yes,2.5,Yes,0.702,0.824,0.388,0.813,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00230,Male,STEM,Low,Medium,No,3.39,Yes,0.772,0.655,0.968,0.88,Yes,No,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00231,Female,Social Sciences,Low,Low,Yes,2.46,No,0.583,0,0.805,0.288,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00232,Female,Health,Medium,Medium,Yes,3.55,Yes,0.656,0.706,0.745,0.586,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00233,Female,Arts & Humanities,Low,High,Yes,3.42,Yes,0.721,0.6,0.39,0.722,Yes,No,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00234,Female,Arts & Humanities,Low,Medium,No,2.72,Yes,0.455,0.753,0.628,0.662,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00235,Female,STEM,High,High,Yes,4.03,Yes,0.422,0.588,0.512,0.667,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00236,Female,STEM,High,High,Yes,4.94,Yes,0.466,0.732,0.401,0.619,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00237,Female,Business,Low,Low,No,3.23,No,0.568,0.287,0.728,0.285,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00238,Female,STEM,High,Low,No,2.58,No,0.612,0.077,0.863,0.266,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00239,Female,Arts & Humanities,High,Medium,No,2.89,Yes,0.665,0.722,1,0.753,Yes,No,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00240,Non-disclosed,Social Sciences,Medium,Low,Yes,2.33,No,0.687,0.305,0.747,0.328,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00241,Male,Health,High,Medium,No,4.09,No,0.712,0.273,0.173,0.499,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00242,Male,Business,Low,Medium,No,3.58,No,0.383,0.386,0.472,0.29,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00243,Female,Business,Low,Medium,No,3.0,No,0.601,0.632,0.38,0.352,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00244,Male,Social Sciences,High,High,No,4.37,No,0.332,0.685,0.484,0.36,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00245,Female,STEM,High,Low,No,3.56,Yes,0.463,0.836,0.576,1,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00246,Male,STEM,High,High,No,3.76,Yes,0.934,0.696,0.869,0.763,Yes,No,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00247,Female,Arts & Humanities,Low,High,No,3.59,Yes,1,0.759,0.579,0.738,Yes,No,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00248,Female,STEM,Low,Low,Yes,1.45,No,0.514,0,0.777,0.167,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00249,Female,Arts & Humanities,Medium,Low,No,1.92,Yes,0.402,0.869,0.785,0.788,Yes,No,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00250,Male,Business,Low,High,No,4.5,No,0.48,0.434,0.651,0.24,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00251,Male,STEM,Low,Low,Yes,2.51,No,0.318,0.318,0.766,0.283,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00252,Male,Education,Medium,Low,No,3.21,No,0.406,0.157,0.563,0.294,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00253,Female,Business,High,Low,Yes,2.05,No,0.671,0.488,0.742,0.475,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00254,Female,Arts & Humanities,Medium,Low,Yes,3.74,No,0.887,0.425,0.582,0.365,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00255,Female,Arts & Humanities,Medium,High,No,4.25,Yes,0.351,0.416,0.55,0.406,No,No,No,No,No,No,Yes,Synthetic demonstration only - not real student data,1,0,0,1,0,ai_detection_tool,AI detection fairness stress test
STUD00256,Female,STEM,Medium,High,Yes,3.81,No,0.635,0.216,0.554,0.202,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00257,Male,STEM,High,High,No,4.73,No,0.64,0,0.794,0.028,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00258,Female,Social Sciences,Low,High,Yes,2.57,Yes,0.581,0.817,0.347,0.829,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00259,Male,Business,Low,Medium,No,3.48,No,0.141,0.316,0.518,0.213,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00260,Female,Arts & Humanities,Medium,Medium,No,3.83,Yes,0.586,0.743,0.415,0.661,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00261,Female,Business,High,Medium,No,4.39,Yes,0.557,0.627,0.836,0.693,Yes,No,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00262,Female,Education,Medium,Low,No,2.22,Yes,0.592,0.881,0.613,0.631,Yes,No,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00263,Female,Business,Low,Medium,No,3.01,Yes,0.493,0.802,0.333,0.77,Yes,No,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00264,Male,Business,Low,Medium,Yes,4.12,Yes,0.477,0.608,0.864,0.581,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00265,Male,Arts & Humanities,Medium,Medium,Yes,2.04,No,0.458,0.244,0.404,0.271,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00266,Female,Health,Low,Medium,No,3.56,No,0.503,0.368,0.545,0.508,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00267,Female,Social Sciences,Medium,Medium,Yes,2.76,No,0.739,0.256,0.319,0.277,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00268,Male,Arts & Humanities,Medium,High,No,4.28,No,0.577,0.498,1,0.422,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00269,Male,Education,Medium,Medium,No,3.44,No,0.607,0.599,0.358,0.412,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00270,Male,Arts & Humanities,Medium,High,No,3.27,Yes,0.462,0.783,0.906,0.755,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00271,Female,Arts & Humanities,High,Medium,No,1.95,No,0.586,0.448,0.47,0.386,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00272,Female,Health,Low,Medium,No,3.1,Yes,0.647,0.735,0.624,0.651,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00273,Female,Education,High,Medium,No,3.43,No,0.499,0.078,0.549,0.158,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00274,Female,Education,Low,Low,Yes,2.72,No,0.707,0.238,0.504,0.517,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00275,Male,Business,Low,Medium,No,3.92,No,0.524,0.505,0.817,0.101,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00276,Female,Health,Medium,Medium,No,3.12,No,0.624,0.403,0.529,0.326,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00277,Female,Education,Medium,Low,No,2.51,No,0.766,0.432,0.678,0.316,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00278,Male,STEM,Medium,Medium,No,3.34,Yes,0.921,0.341,0.417,0.931,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00279,Male,Business,Medium,Medium,Yes,3.46,Yes,0.347,0.515,0.894,0.903,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00280,Male,Arts & Humanities,Medium,Low,Yes,3.31,No,0.466,0.28,0.779,0.453,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00281,Male,STEM,Medium,High,Yes,3.82,No,0.506,0.619,0.796,0.34,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00282,Female,Business,Low,Low,No,2.57,No,0.481,0.21,0.754,0.334,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00283,Female,Social Sciences,Low,Low,No,3.38,No,0.432,0.369,0.613,0.158,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00284,Female,Business,High,Low,Yes,2.57,No,0.64,0.385,0.765,0.374,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00285,Male,STEM,Low,High,No,5,No,0.609,0.498,0.699,0.134,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00286,Male,STEM,Low,High,Yes,4.3,No,0.538,0.577,0.811,0.117,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00287,Male,Health,Medium,Low,Yes,3.36,No,0.527,0.103,0.445,0.243,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00288,Female,Business,Medium,Low,No,2.13,No,0.765,0.577,0.691,0.486,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00289,Female,Business,Medium,Low,No,2.59,No,0.311,0.551,0.513,0.289,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00290,Male,STEM,Low,High,Yes,4.62,No,0.331,0.62,0.121,0.192,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00291,Female,Health,High,Low,No,2.82,No,0.474,0.353,1,0.394,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00292,Male,Business,Medium,Medium,No,3.69,No,0.628,0.252,0.705,0.366,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00293,Male,STEM,Medium,Medium,Yes,4.29,No,0.678,0.32,0.822,0.33,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00294,Male,STEM,Low,Low,No,3.78,No,0.388,0.214,0.393,0.129,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00295,Female,Health,Medium,Low,No,3.03,No,0.491,0.316,0.497,0.371,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00296,Male,Health,Medium,Low,Yes,3.31,No,0.422,0.433,0.676,0.131,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00297,Female,Arts & Humanities,High,High,No,3.85,No,0.427,0.508,0.524,0.15,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00298,Female,Social Sciences,Medium,High,Yes,3.61,No,0.733,0.607,0.608,0.281,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00299,Female,Arts & Humanities,Medium,High,Yes,5,No,0.594,0.373,1,0.389,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00300,Female,Arts & Humanities,Medium,Medium,Yes,2.92,No,0.802,0.198,0.854,0.217,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00301,Female,Health,Medium,Low,No,3.44,No,0.493,0.099,0.543,0.265,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00302,Female,Arts & Humanities,Medium,Medium,Yes,3.34,No,0.711,0.277,0.808,0.114,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00303,Male,STEM,Medium,Low,Yes,3.0,Yes,0.465,0.609,1,0.682,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00304,Female,Education,High,Medium,No,2.69,No,0.542,0.642,0.595,0.253,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00305,Male,Social Sciences,High,Medium,No,3.38,Yes,0.787,0.658,0.881,0.799,Yes,No,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00306,Male,Arts & Humanities,Medium,High,No,2.81,No,0.73,0.402,0.67,0.461,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00307,Female,STEM,Medium,Medium,No,2.73,No,0.491,0.376,0.711,0.264,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00308,Female,Business,High,Low,No,2.29,No,0.312,0.342,0.352,0.497,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00309,Female,Business,Low,Low,No,1.65,Yes,0.62,0.629,0.753,0.722,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00310,Male,Social Sciences,High,High,Yes,4.79,No,0.313,0.539,0.431,0.189,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00311,Male,Arts & Humanities,High,Medium,No,3.09,Yes,0.731,0.897,0.453,0.667,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00312,Female,Arts & Humanities,Low,High,No,4.28,No,0.659,0.433,0.401,0.132,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00313,Male,Business,Medium,Low,No,4.11,No,0.479,0.561,0.44,0.439,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00314,Female,STEM,High,Low,No,3.24,No,0.537,0.445,0.356,0.486,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00315,Female,STEM,Medium,Medium,No,2.25,No,0.338,0.362,0.483,0.328,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00316,Male,STEM,High,Low,No,3.02,No,0.424,0.186,0.455,0.269,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00317,Female,Health,High,Medium,Yes,2.56,No,0.242,0.361,0.448,0.414,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00318,Male,STEM,Medium,Low,No,2.74,No,0.43,0.565,0.686,0.282,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00319,Female,Health,Low,Medium,Yes,3.12,Yes,0.469,0.75,0.365,0.921,Yes,No,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00320,Female,STEM,Medium,Low,No,1.29,No,0.682,0.488,0.752,0.474,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00321,Male,STEM,Medium,Medium,Yes,2.83,Yes,0.456,0.596,0.874,0.782,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00322,Female,Education,Medium,Low,No,2.51,No,0.434,0.429,0.444,0.334,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00323,Male,Education,Low,High,Yes,3.84,Yes,0.893,0.736,0.716,0.713,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00324,Male,Business,High,Medium,No,3.69,No,0.444,0.46,0.591,0.108,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00325,Female,Arts & Humanities,Medium,Medium,No,2.39,No,0.335,0.312,0.479,0.152,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00326,Female,Social Sciences,High,Medium,No,3.14,No,0.529,0.462,0.485,0.334,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00327,Female,STEM,High,Low,Yes,1.95,Yes,0.593,0.742,0.681,0.76,Yes,No,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00328,Male,STEM,Medium,High,No,3.34,No,0.365,0.415,0.731,0.166,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00329,Female,Education,Medium,Medium,No,2.69,Yes,0.519,0.851,0.75,0.775,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00330,Female,Business,Medium,High,Yes,4.01,Yes,0.583,0.796,0.719,0.702,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00331,Female,Arts & Humanities,Low,Low,Yes,3.2,No,0.584,0.568,0.654,0.351,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00332,Female,Arts & Humanities,High,High,Yes,3.3,No,0.411,0.272,0.669,0.172,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00333,Male,STEM,Medium,High,Yes,3.7,Yes,0.498,0.788,0.776,0.801,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00334,Male,STEM,Medium,High,Yes,3.51,Yes,0.709,0.859,0.88,0.514,No,No,No,No,No,No,Yes,Synthetic demonstration only - not real student data,1,0,0,1,0,ai_detection_tool,AI detection fairness stress test
STUD00335,Male,Arts & Humanities,Medium,Medium,Yes,3.09,No,0.618,0.416,0.449,0.166,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00336,Male,Arts & Humanities,Low,Low,No,2.28,No,0.683,0.235,0.682,0.233,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00337,Female,Health,Medium,Medium,Yes,4.0,No,0.571,0.323,0.776,0.373,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00338,Female,Education,Medium,Medium,Yes,3.83,No,0.565,0.225,0.664,0.127,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00339,Female,Arts & Humanities,Low,Low,Yes,2.06,No,0.389,0.196,0.368,0.15,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00340,Female,Business,Low,Medium,No,3.23,No,0.495,0.294,0.568,0.272,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00341,Female,STEM,Medium,High,Yes,3.65,Yes,0.624,0.387,1,0.52,No,No,No,No,No,No,Yes,Synthetic demonstration only - not real student data,1,0,0,1,0,ai_detection_tool,AI detection fairness stress test
STUD00342,Male,Business,High,High,No,3.73,Yes,0.59,0.919,0.679,0.659,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00343,Female,STEM,Low,Low,Yes,3.56,No,1,0.239,0.764,0.233,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00344,Male,STEM,Medium,Low,No,2.6,No,0.282,0.645,0.509,0.518,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00345,Female,Social Sciences,Low,Medium,Yes,3.1,Yes,0.678,0.916,0.594,1,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00346,Male,Business,High,High,No,3.89,Yes,0.314,0.759,0.718,0.7,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00347,Non-disclosed,Health,Low,Low,No,2.31,No,0.518,0.331,0.63,0.207,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00348,Female,Social Sciences,Medium,Medium,No,1.98,Yes,0.829,0.586,0.809,0.671,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00349,Male,STEM,Low,Low,No,3.02,No,0.583,0.231,0.313,0.162,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00350,Male,STEM,Medium,Medium,No,2.83,No,0.777,0.198,0.032,0.335,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00351,Male,STEM,Medium,Medium,Yes,3.78,No,0.386,0.23,0.617,0.219,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00352,Non-disclosed,Health,Medium,Medium,Yes,2.73,Yes,0.436,0.595,0.594,0.646,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
